L1,L2,L3,L4
0.452648868,0.30657256,0.244737881,0.540248155
0.474250635,0.312910801,0.237624797,0.548774551
0.463661773,0.337483208,0.229615723,0.589560161
0.52513645,0.398906364,0.310576655,0.661868753
0.593620291,0.420607669,0.311879291,0.729224805
0.643209673,0.444664576,0.285742623,0.773563135
0.680961792,0.451374341,0.321901324,0.792406499
0.713135665,0.432018709,0.335318819,0.816919767
0.736657975,0.450850153,0.345869576,0.812744356
0.738489932,0.457141644,0.37488926,0.792153341
0.751070589,0.475483101,0.375099963,0.780117957
0.757344955,0.46313746,0.357000784,0.773635859
0.752817752,0.442512525,0.355721597,0.758345699
0.721163442,0.446710162,0.336153563,0.777584269
0.696203821,0.451323866,0.319977543,0.807175765
0.719566546,0.454413966,0.314817483,0.797735213
0.817739085,0.505704072,0.258657064,0.845916592
0.78941298,0.516657949,0.234810062,0.842123915
0.725170649,0.46804215,0.231857662,0.759039495
0.638689476,0.378515045,0.265632415,0.645262592
0.560098561,0.334024205,0.2805767,0.569143749
0.516059472,0.310806191,0.297467525,0.528419445
0.48487691,0.301769508,0.295165375,0.500029762
0.470763387,0.302486491,0.262797955,0.493988544
0.480258665,0.300560747,0.309640525,0.514550162
0.494183533,0.31611826,0.308104011,0.554315202
0.486426172,0.332252228,0.309967305,0.592865067
0.541478093,0.392750437,0.363870542,0.674977913
0.606973773,0.423343759,0.379914001,0.743451879
0.654810865,0.446053721,0.389563389,0.786988135
0.694890126,0.441380578,0.386337868,0.815230344
0.714025678,0.429496652,0.357781249,0.836662791
0.732535169,0.443707082,0.371915618,0.82498949
0.737569006,0.451423022,0.382294708,0.798571624
0.76427402,0.450950964,0.388494009,0.778143631
0.772935189,0.450064906,0.373514274,0.748145267
0.749388033,0.428012488,0.347311739,0.728438767
0.723054119,0.427952774,0.312309733,0.729894792
0.700918777,0.436954566,0.306185886,0.72434588
0.720720259,0.451315868,0.290425893,0.73308308
0.815413748,0.502622247,0.251271479,0.780946836
0.77716554,0.524227982,0.233756614,0.839595329
0.720864929,0.472109463,0.222705825,0.768021835
0.624523263,0.373588979,0.260139988,0.433061303
0.55222831,0.326167737,0.266860633,0.374534773
0.495466387,0.305547216,0.256688177,0.354841231
0.476802547,0.295742249,0.246382816,0.358049441
0.463058066,0.29076764,0.239997296,0.382947872
0.4695667,0.288584284,0.260658505,0.414310099
0.492511991,0.302417261,0.252503698,0.446106485
0.476086673,0.315189865,0.2822226,0.506045146
0.530638605,0.382732678,0.306973523,0.540409315
0.590226432,0.421714792,0.316097015,0.5509119
0.650902824,0.448015045,0.315444834,0.544083592
0.685368485,0.463179659,0.331013987,0.546821443
0.721675673,0.444116668,0.301293015,0.532568535
0.749175867,0.475248934,0.307073806,0.524578906
0.752064536,0.486230116,0.348277802,0.515873695
0.770865281,0.488593579,0.30621037,0.534381297
0.782571417,0.489744144,0.317004729,0.580779959
0.768383175,0.472912776,0.287697715,0.588759384
0.733496794,0.469534036,0.29066784,0.574370018
0.709478612,0.477156198,0.257474711,0.550395704
0.733194417,0.475173223,0.234796544,0.535006418
0.825454951,0.517498359,0.215627087,0.554653314
0.788453773,0.551004155,0.216209746,0.590353164
0.719560443,0.500141976,0.228109763,0.515557288
0.640430103,0.409407627,0.669085537,0.432387267
0.561555806,0.355733509,0.630624548,0.375212129
