"item","Demanda","Valor","addValue"
"2017-01-18 19","81020.261","2.979053",""
"2017-01-18 20","69765.797","2.565236",""
"2017-01-18 21","61006.559","2.243165",""
"2017-01-18 22","57444.997","2.112209",""
"2017-01-18 23","52133.468","1.916908",""
"2017-01-18 24","47104.979","1.732014",""
"2017-01-19 01","42705.956","1.42367",""
"2017-01-19 02","39176.514","1.236184",""
"2017-01-19 03","36786.588","1.053922",""
"2017-01-19 04","36427.015","1.036407",""
"2017-01-19 05","35405.328","0.93956",""
"2017-01-19 06","35787.031","1.072533",""
"2017-01-19 07","39802.741","1.269082",""
"2017-01-19 08","51166.798","1.631416",""
"2017-01-19 09","64293.739","2.236705",""
"2017-01-19 10","73555.49","2.719146",""
"2017-01-19 11","80997.426","2.994254",""
"2017-01-19 12","85196.948","3.149499",""
"2017-01-19 13","87788.445","3.2453",""
"2017-01-19 14","89399.355","3.304851",""
"2017-01-19 15","89074.655","3.292847",""
"2017-01-19 16","90045.394","3.328734",""
"2017-01-19 17","89688.958","3.315556",""
"2017-01-19 18","87535.322","3.235942",""
"2017-01-19 19","81513.451","2.997187",""
"2017-01-19 20","71009.165","2.610953",""
"2017-01-19 21","62662.035","2.304035",""
"2017-01-19 22","59057.682","2.171506",""
"2017-01-19 23","53577.025","1.969987",""
"2017-01-19 24","48817.971","1.794999",""
"2017-01-20 01","43928.923","1.395159",""
"2017-01-20 02","40952.726","1.300636",""
"2017-01-20 03","38214.297","1.213665",""
"2017-01-20 04","37071.238","1.177363",""
"2017-01-20 05","36351.113","1.154492",""
"2017-01-20 06","36454.491","1.157775",""
"2017-01-20 07","40557.155","1.288073",""
"2017-01-20 08","51985.88","1.651044",""
"2017-01-20 09","64985.104","2.158094",""
"2017-01-20 10","73853.085","2.467191",""
"2017-01-20 11","82249.015","2.942771",""
"2017-01-20 12","85465.477","3.057853",""
"2017-01-20 13","88228.376","3.156707",""
"2017-01-20 14","89722.455","3.210163",""
"2017-01-20 15","89474.991","3.201309",""
"2017-01-20 16","88784.273","3.176595",""
"2017-01-20 17","87205.759","3.120119",""
"2017-01-20 18","83189.814","2.954507",""
"2017-01-20 19","76878.658","2.542937",""
"2017-01-20 20","67560.712","2.234724",""
"2017-01-20 21","59158.819","1.956813",""
"2017-01-20 22","54884.043","1.891359",""
"2017-01-20 23","50492.203","1.789916",""
"2017-01-20 24","46464.447","1.647135",""
"2017-01-21 01","42167.519","1.48099",""
"2017-01-21 02","40465.69","1.421219",""
"2017-01-21 03","37588.202","1.198564",""
"2017-01-21 04","36964.599","1.178679",""
"2017-01-21 05","36336.494","1.153853",""
"2017-01-21 06","35086.55","1.109528",""
"2017-01-21 07","34898.94","1.064429",""
"2017-01-21 08","35222.588","1.020818",""
"2017-01-21 09","40285.709","1.311173",""
"2017-01-21 10","46893.968","1.526251",""
"2017-01-21 11","54798.184","1.78351",""
"2017-01-21 12","57805.627","1.881392",""
"2017-01-21 13","60146.123","1.957568",""
"2017-01-21 14","60413.972","1.966286",""
"2017-01-21 15","59170.29","1.925807",""
"2017-01-21 16","57435.246","1.869337",""
"2017-01-21 17","56328.335","1.833311",""
"2017-01-21 18","55322.265","1.800567",""
"2017-01-21 19","54101.228","1.771541",""
"2017-01-21 20","52286.41","1.712115",""
"2017-01-21 21","51177.818","1.679193",""
"2017-01-21 22","49734.679","1.773028",""
"2017-01-21 23","46716.174","1.665418",""
"2017-01-21 24","43950.273","1.566815",""
"2017-01-22 01","40477.177","1.275987",""
"2017-01-22 02","37947.717","1.196249",""
"2017-01-22 03","36453.519","1.149147",""
"2017-01-22 04","34820.735","1.097675",""
"2017-01-22 05","33841.922","0.98201",""
"2017-01-22 06","33462.797","0.712809",""
"2017-01-22 07","33400.24","0.339218",""
"2017-01-22 08","32861.295","0.05418",""
"2017-01-22 09","35693.157","0.261286",""
"2017-01-22 10","39400.865","1.02119",""
"2017-01-22 11","44779.74","1.207851",""
"2017-01-22 12","48241.583","1.495298",""
"2017-01-22 13","50008.373","1.596233",""
"2017-01-22 14","51310.743","1.637804",""
"2017-01-22 15","51607.18","1.647266",""
"2017-01-22 16","51311.783","1.637837",""
"2017-01-22 17","51024.315","1.628661",""
"2017-01-22 18","50147.842","1.600685",""
"2017-01-22 19","49399.188","1.58982",""
"2017-01-22 20","48661.683","1.566084",""
"2017-01-22 21","47908.125","1.541833",""
"2017-01-22 22","48370.957","1.556728",""
"2017-01-22 23","46172.986","1.48599",""
"2017-01-22 24","43046.728","1.385377",""
"2017-01-23 01","39506.814","1.253214",""
"2017-01-23 02","36999.963","1.173694",""
"2017-01-23 03","35481.753","1.050653",""
"2017-01-23 04","34468.489","0.988826",""
"2017-01-23 05","34001.262","0.975422",""
"2017-01-23 06","34465.449","1.050108",""
"2017-01-23 07","39417.79","1.25039",""
"2017-01-23 08","50424.427","1.599537",""
"2017-01-23 09","63888.184","2.174094",""
"2017-01-23 10","74243.174","2.526471",""
"2017-01-23 11","81554.137","2.775262",""
"2017-01-23 12","85153.452","2.897744",""
"2017-01-23 13","87350.97","2.972526",""
"2017-01-23 14","88676.924","3.017648",""
"2017-01-23 15","88753.324","3.020247",""
"2017-01-23 16","88681.222","3.017793",""
"2017-01-23 17","88282.532","3.004226",""
"2017-01-23 18","86239.034","2.934687",""
"2017-01-23 19","79481.292","2.704723",""
"2017-01-23 20","68355.635","2.32612",""
"2017-01-23 21","59651.718","2.029929",""
"2017-01-23 22","56438.847","1.939207",""
"2017-01-23 23","50812.115","1.759279",""
"2017-01-23 24","46026.184","1.575362",""
"2017-01-24 01","41282.76","1.355833",""
"2017-01-24 02","38448.711","1.262756",""
"2017-01-24 03","36627.19","1.183608",""
"2017-01-24 04","35492.555","1.130558",""
"2017-01-24 05","34817.736","1.111359",""
"2017-01-24 06","35293.425","1.140508",""
"2017-01-24 07","39841.673","1.308504",""
"2017-01-24 08","51436.865","1.689321",""
"2017-01-24 09","64266.034","2.186952",""
"2017-01-24 10","72571.159","2.469574",""
"2017-01-24 11","79891.402","2.718679",""
"2017-01-24 12","84101.192","2.861937",""
"2017-01-24 13","86811.134","2.954155",""
"2017-01-24 14","88707.151","3.018676",""
"2017-01-24 15","87823.353","2.9886",""
"2017-01-24 16","89005.554","3.02883",""
"2017-01-24 17","88927.901","3.026188",""
"2017-01-24 18","87061.323","2.962669",""
"2017-01-24 19","80187.522","2.723469",""
"2017-01-24 20","69689.687","2.366922",""
"2017-01-24 21","61362.555","2.084102",""
"2017-01-24 22","56948.563","1.934186",""
"2017-01-24 23","51694.864","1.755751",""
"2017-01-24 24","47215.381","1.603611",""
"2017-01-25 01","42369.44","1.363829",""
"2017-01-25 02","38799.693","1.248922",""
"2017-01-25 03","36973.603","1.180486",""
"2017-01-25 04","36176.546","1.143227",""
"2017-01-25 05","35023.047","1.106774",""
"2017-01-25 06","35428.244","1.133458",""
"2017-01-25 07","39687.332","1.277494",""
"2017-01-25 08","51484.189","1.657222",""
"2017-01-25 09","64855.097","2.324752",""
"2017-01-25 10","73998.958","2.652516",""
"2017-01-25 11","81790.577","2.931809",""
"2017-01-25 12","85591.152","3.068041",""
"2017-01-25 13","88556.212","3.174325",""
"2017-01-25 14","90696.896","3.251058",""
"2017-01-25 15","91180.469","3.268392",""
"2017-01-25 16","91934.296","3.295414",""
"2017-01-25 17","91382.98","3.275651",""
"2017-01-25 18","90063.482","3.228353",""
"2017-01-25 19","82927.465","7.970144",""
"2017-01-25 20","72830.819","5.226041",""
"2017-01-25 21","63788.28","5.426818",""
"2017-01-25 22","58891.679","6.18301",""
"2017-01-25 23","53349.097","4.674547",""
"2017-01-25 24","48816.408","2.957834",""
"2017-01-26 01","43827.285","2.071777",""
"2017-01-26 02","40570.774","1.758901",""
"2017-01-26 03","38016.922","1.236136",""
"2017-01-26 04","36944.396","1.16508",""
"2017-01-26 05","35828.618","1.127554",""
"2017-01-26 06","36407.406","1.145768",""
"2017-01-26 07","41268.659","1.24756",""
"2017-01-26 08","53470.826","1.654837",""
"2017-01-26 09","67055.729","2.377364",""
"2017-01-26 10","77125.26","2.754507",""
"2017-01-26 11","85368.156","3.0489",""
"2017-01-26 12","88886.122","4.132129",""
"2017-01-26 13","91051.226","4.405183",""
"2017-01-26 14","92292.318","4.465229",""
"2017-01-26 15","92341.187","9.465751",""
"2017-01-26 16","92560.757","10.370606",""
"2017-01-26 17","92211.672","10.331495",""
"2017-01-26 18","89902.075","10.072724",""
"2017-01-26 19","82377.135","8.385188",""
"2017-01-26 20","71492.887","3.911712",""
"2017-01-26 21","63351.46","4.272843",""
"2017-01-26 22","59463.769","4.010631",""
"2017-01-26 23","54281.693","3.650486",""
"2017-01-26 24","49699.684","3.825845",""
