"item","Demanda","Valor","addValue"
"2017-01-17 21","54265.801","1.973819",""
"2017-01-17 22","50170.024","1.824842",""
"2017-01-17 23","45971.7","1.672136",""
"2017-01-17 24","43207.484","1.568741",""
"2017-01-18 01","40052.714","1.351084",""
"2017-01-18 02","36870.547","1.066064",""
"2017-01-18 03","34996.35","0.949498",""
"2017-01-18 04","34078.183","0.879594",""
"2017-01-18 05","33595.015","0.849382",""
"2017-01-18 06","33588.688","0.813745",""
"2017-01-18 07","35766.975","0.965684",""
"2017-01-18 08","43620.455","1.31018",""
"2017-01-18 09","53350.022","1.757376",""
"2017-01-18 10","62201.249","2.233714",""
"2017-01-18 11","68354.541","2.499808",""
"2017-01-18 12","71843.706","2.62741",""
"2017-01-18 13","73992.407","2.705991",""
"2017-01-18 14","75232.128","2.751329",""
"2017-01-18 15","76326.145","2.791339",""
"2017-01-18 16","77140.572","2.821123",""
"2017-01-18 17","76705.27","2.805203",""
"2017-01-18 18","74611.751","2.728641",""
"2017-01-18 19","67347.495","2.449641",""
"2017-01-18 20","58984.791","2.145463",""
"2017-01-18 21","52470.687","1.908524",""
"2017-01-18 22","48820.238","1.775746",""
"2017-01-18 23","45403.436","1.651467",""
"2017-01-18 24","42224.342","1.535833",""
"2017-01-19 01","39361.834","1.301795",""
"2017-01-19 02","36799.799","1.151472",""
"2017-01-19 03","34877.723","0.992327",""
"2017-01-19 04","33857.72","0.956601",""
"2017-01-19 05","33474.898","0.881701",""
"2017-01-19 06","33503.392","0.995247",""
"2017-01-19 07","35586.93","1.125267",""
"2017-01-19 08","42903.663","1.356624",""
"2017-01-19 09","53717.19","1.847483",""
"2017-01-19 10","61224.203","2.239043",""
"2017-01-19 11","66992.807","2.450007",""
"2017-01-19 12","70342.875","2.572524",""
"2017-01-19 13","72638.393","2.656473",""
"2017-01-19 14","73900.166","2.702618",""
"2017-01-19 15","74845.509","2.73719",""
"2017-01-19 16","76191.376","2.78641",""
"2017-01-19 17","76372.037","2.793017",""
"2017-01-19 18","74587.503","2.727755",""
"2017-01-19 19","68634.629","2.496459",""
"2017-01-19 20","60413.896","2.197445",""
"2017-01-19 21","53838.69","1.958283",""
"2017-01-19 22","50611.206","1.840889",""
"2017-01-19 23","46918.281","1.706566",""
"2017-01-19 24","43554.56","1.584217",""
"2017-01-20 01","40584.017","1.280904",""
"2017-01-20 02","38161.772","1.204454",""
"2017-01-20 03","36255.133","1.144277",""
"2017-01-20 04","35192.666","1.110744",""
"2017-01-20 05","34673.717","1.094365",""
"2017-01-20 06","34644.103","1.09343",""
"2017-01-20 07","36827.222","1.162333",""
"2017-01-20 08","44002.684","1.388804",""
"2017-01-20 09","55126.142","1.808894",""
"2017-01-20 10","63704.999","2.10299",""
"2017-01-20 11","69286.487","2.451596",""
"2017-01-20 12","72308.606","2.558529",""
"2017-01-20 13","74284.22","2.628433",""
"2017-01-20 14","75650.636","2.676782",""
"2017-01-20 15","76780.237","2.716751",""
"2017-01-20 16","77178.635","2.730847",""
"2017-01-20 17","75789.501","2.681696",""
"2017-01-20 18","72454.013","2.544577",""
"2017-01-20 19","66318.194","2.167407",""
"2017-01-20 20","58839.702","1.922996",""
"2017-01-20 21","53254.282","1.740453",""
"2017-01-20 22","48922.604","1.66658",""
"2017-01-20 23","45008.286","1.574755",""
"2017-01-20 24","42520.811","1.487723",""
"2017-01-21 01","38485.57","1.354214",""
"2017-01-21 02","36588.511","1.287461",""
"2017-01-21 03","35152.734","1.123225",""
"2017-01-21 04","34117.066","1.090132",""
"2017-01-21 05","33579.904","1.068536",""
"2017-01-21 06","33062.821","1.047716",""
"2017-01-21 07","33087.906","1.011376",""
"2017-01-21 08","34762.435","1.007482",""
"2017-01-21 09","39319.908","1.27974",""
"2017-01-21 10","45869.752","1.492917",""
"2017-01-21 11","51569.109","1.678413",""
"2017-01-21 12","54845.072","1.785035",""
"2017-01-21 13","56414.183","1.836105",""
"2017-01-21 14","57139.333","1.859706",""
"2017-01-21 15","55466.078","1.805248",""
"2017-01-21 16","53132.942","1.729311",""
"2017-01-21 17","51167.983","1.665358",""
"2017-01-21 18","49233.482","1.602396",""
"2017-01-21 19","47398.548","1.548933",""
"2017-01-21 20","45884.218","1.499446",""
"2017-01-21 21","44433.903","1.454985",""
"2017-01-21 22","42498.703","1.512261",""
"2017-01-21 23","40178.175","1.429688",""
"2017-01-21 24","38460.572","1.368569",""
"2017-01-22 01","36323.118","1.147432",""
"2017-01-22 02","34532.889","1.090879",""
"2017-01-22 03","33234.686","1.04987",""
"2017-01-22 04","31928.078","1.008594",""
"2017-01-22 05","31241.824","0.906561",""
"2017-01-22 06","30930.123","0.658859",""
"2017-01-22 07","30795.962","0.312768",""
"2017-01-22 08","30455.396","0.050212",""
"2017-01-22 09","32339.722","0.236738",""
"2017-01-22 10","35448.415","0.914075",""
"2017-01-22 11","38780.527","1.043475",""
"2017-01-22 12","41416.616","1.278287",""
"2017-01-22 13","42827.437","1.361374",""
"2017-01-22 14","43964.661","1.397523",""
"2017-01-22 15","44254.554","1.406738",""
"2017-01-22 16","43927.779","1.39635",""
"2017-01-22 17","43257.49","1.375044",""
"2017-01-22 18","42482.805","1.350419",""
"2017-01-22 19","41815.619","1.331968",""
"2017-01-22 20","41438.255","1.319948",""
"2017-01-22 21","41214.056","1.312807",""
"2017-01-22 22","41380.622","1.318112",""
"2017-01-22 23","40031.445","1.275136",""
"2017-01-22 24","38211.211","1.217155",""
"2017-01-23 01","36125.366","1.138802",""
"2017-01-23 02","34018.948","1.072401",""
"2017-01-23 03","32400.967","0.953018",""
"2017-01-23 04","31538.539","0.900612",""
"2017-01-23 05","31101.847","0.888142",""
"2017-01-23 06","31270.354","0.946572",""
"2017-01-23 07","33525.887","1.056857",""
"2017-01-23 08","41363.917","1.30394",""
"2017-01-23 09","51745.978","1.740423",""
"2017-01-23 10","60419.419","2.032147",""
"2017-01-23 11","66826.161","2.24763",""
"2017-01-23 12","69312.033","2.33124",""
"2017-01-23 13","71700.746","2.411582",""
"2017-01-23 14","72673.734","2.444308",""
"2017-01-23 15","73951.779","2.487293",""
"2017-01-23 16","74185.638","2.495159",""
"2017-01-23 17","73802.14","2.48226",""
"2017-01-23 18","72251.595","2.43011",""
"2017-01-23 19","66499.013","2.236627",""
"2017-01-23 20","58289.31","1.960502",""
"2017-01-23 21","52223.774","1.756494",""
"2017-01-23 22","48665.911","1.652876",""
"2017-01-23 23","44435.107","1.520904",""
"2017-01-23 24","41240.214","1.395232",""
"2017-01-24 01","38067.868","1.240206",""
"2017-01-24 02","35652.251","1.161508",""
"2017-01-24 03","34070.353","1.091996",""
"2017-01-24 04","33311.933","1.054507",""
"2017-01-24 05","32869.687","1.040508",""
"2017-01-24 06","33033.226","1.058755",""
"2017-01-24 07","35141.517","1.144869",""
"2017-01-24 08","42175.19","1.374018",""
"2017-01-24 09","52770.439","1.7714",""
"2017-01-24 10","61116.455","2.05156",""
"2017-01-24 11","67004.511","2.24921",""
"2017-01-24 12","69443.702","2.331089",""
"2017-01-24 13","71533.29","2.401233",""
"2017-01-24 14","73466.682","2.466133",""
"2017-01-24 15","74631.673","2.505239",""
"2017-01-24 16","75863.45","2.546587",""
"2017-01-24 17","75498.953","2.534352",""
"2017-01-24 18","73895.492","2.480527",""
"2017-01-24 19","67978.803","2.277432",""
"2017-01-24 20","60072.798","2.012565",""
"2017-01-24 21","53334.686","1.786823",""
"2017-01-24 22","48911.69","1.638643",""
"2017-01-24 23","45486.642","1.523898",""
"2017-01-24 24","42742.02","1.431947",""
"2017-01-25 01","39364.086","1.256808",""
"2017-01-25 02","36575.996","1.167791",""
"2017-01-25 03","34722.095","1.101798",""
"2017-01-25 04","34002.138","1.067853",""
"2017-01-25 05","33545.093","1.053498",""
"2017-01-25 06","33709.168","1.071857",""
"2017-01-25 07","35762.864","1.141829",""
"2017-01-25 08","42422.881","1.354469",""
"2017-01-25 09","53764.262","1.906134",""
"2017-01-25 10","62935.793","2.231298",""
"2017-01-25 11","68316.765","2.422072",""
"2017-01-25 12","71615.743","2.539033",""
"2017-01-25 13","74145.075","2.628707",""
"2017-01-25 14","75755.355","2.685797",""
"2017-01-25 15","77197.274","2.736918",""
"2017-01-25 16","77547.492","2.749334",""
"2017-01-25 17","77565.182","2.749962",""
"2017-01-25 18","75912.104","2.691355",""
"2017-01-25 19","69309.807","6.584422",""
"2017-01-25 20","62895.997","4.459774",""
"2017-01-25 21","55613.715","4.676896",""
"2017-01-25 22","51132.649","5.308299",""
"2017-01-25 23","46662.144","4.039877",""
"2017-01-25 24","43867.857","2.629354",""
"2017-01-26 01","41116.851","1.930228",""
"2017-01-26 02","38302.194","1.648045",""
"2017-01-26 03","36062.582","1.165526",""
"2017-01-26 04","35281.979","1.105743",""
"2017-01-26 05","34870.036","1.090556",""
"2017-01-26 06","34950.785","1.093081",""
"2017-01-26 07","37366.658","1.122282",""
"2017-01-26 08","44844.161","1.379072",""
"2017-01-26 09","56257.553","1.972491",""
"2017-01-26 10","66201.378","2.338429",""
"2017-01-26 11","72236.171","2.551596",""
"2017-01-26 12","74654.61","3.431542",""
"2017-01-26 13","76217.232","3.647684",""
"2017-01-26 14","76935.269","3.682048",""
"2017-01-26 15","77327.737","7.840915",""
"2017-01-26 16","78187.084","8.668275",""
"2017-01-26 17","77535.857","8.596076",""
"2017-01-26 18","75293.825","8.347512",""
"2017-01-26 19","69125.056","6.955016",""
"2017-01-26 20","60810.379","3.287518",""
"2017-01-26 21","54212.612","3.613982",""
"2017-01-26 22","50147.252","3.342973",""
"2017-01-26 23","46348.093","3.080631",""
"2017-01-26 24","43476.469","3.309884",""
"2017-01-27 01","40533.792","1.889287",""
"2017-01-27 02","38020.191","1.759753",""
"2017-01-27 03","35994.816","1.363737",""
"2017-01-27 04","35083.832","1.157931",""
"2017-01-27 05","34675.858","1.144466",""
"2017-01-27 06","34655.899","1.143807",""
"2017-01-27 07","36819.726","1.639473",""
"2017-01-27 08","44104.601","2.055723",""
