"item","Demanda","Valor","addValue"
"2017-01-22 09","32583.136","0.23637",""
"2017-01-22 10","38967.331","1.002244",""
"2017-01-22 11","45552.314","1.222681",""
"2017-01-22 12","50147.231","1.547751",""
"2017-01-22 13","53306.292","1.690954",""
"2017-01-22 14","55937.15","1.774409",""
"2017-01-22 15","57855.503","1.835262",""
"2017-01-22 16","57365.671","1.819723",""
"2017-01-22 17","56519.847","1.792893",""
"2017-01-22 18","56138.293","1.780789",""
"2017-01-22 19","55525.983","1.786999",""
"2017-01-22 20","55466.614","1.785089",""
"2017-01-22 21","55480.267","1.785527",""
"2017-01-22 22","57530.45","1.851508",""
"2017-01-22 23","54408.954","1.75105",""
"2017-01-22 24","49449.263","1.591431",""
"2017-01-23 01","44076.541","1.398173",""
"2017-01-23 02","38389.205","1.217762",""
"2017-01-23 03","34234.212","1.013713",""
"2017-01-23 04","31996.478","0.917909",""
"2017-01-23 05","31039.809","0.890465",""
"2017-01-23 06","30986.002","0.944095",""
"2017-01-23 07","32880.764","1.043026",""
"2017-01-23 08","34906.181","1.107275",""
"2017-01-23 09","39192.372","1.328535",""
"2017-01-23 10","46094.817","1.562512",""
"2017-01-23 11","52340.041","1.774212",""
"2017-01-23 12","56119.767","1.902336",""
"2017-01-23 13","58341.638","1.977652",""
"2017-01-23 14","60799.98","2.060985",""
"2017-01-23 15","61923.058","2.099055",""
"2017-01-23 16","62344.572","2.113344",""
"2017-01-23 17","62487.537","2.118189",""
"2017-01-23 18","61876.964","2.097492",""
"2017-01-23 19","60227.685","2.049529",""
"2017-01-23 20","59082.144","2.010547",""
"2017-01-23 21","58531.675","1.991814",""
"2017-01-23 22","60433.354","2.080441",""
"2017-01-23 23","55478.107","1.92449",""
"2017-01-23 24","50015.918","1.711922",""
"2017-01-24 01","43828.556","1.439444",""
"2017-01-24 02","38236.398","1.255783",""
"2017-01-24 03","34301.482","1.110715",""
"2017-01-24 04","32215.841","1.028307",""
"2017-01-24 05","31306.041","1.001332",""
"2017-01-24 06","31171.243","1.009355",""
"2017-01-24 07","33056.387","1.085658",""
"2017-01-24 08","35351.09","1.161021",""
"2017-01-24 09","40050.096","1.360251",""
"2017-01-24 10","47143.619","1.601174",""
"2017-01-24 11","52508.418","1.783383",""
"2017-01-24 12","56109.456","1.905687",""
"2017-01-24 13","58582.758","1.98969",""
"2017-01-24 14","61177.522","2.077818",""
"2017-01-24 15","62506.58","2.122957",""
"2017-01-24 16","62907.758","2.136582",""
"2017-01-24 17","62737.775","2.13081",""
"2017-01-24 18","62410.223","2.119684",""
"2017-01-24 19","60919.969","2.073087",""
"2017-01-24 20","60061.8","2.043884",""
"2017-01-24 21","59938.106","2.039674",""
"2017-01-24 22","61164.52","2.081409",""
"2017-01-24 23","56976.547","1.938893",""
"2017-01-24 24","51273.811","1.744832",""
"2017-01-25 01","45287.429","1.457756",""
"2017-01-25 02","39197.21","1.261717",""
"2017-01-25 03","34938.943","1.117804",""
"2017-01-25 04","32771.44","1.037761",""
"2017-01-25 05","31683.474","1.003308",""
"2017-01-25 06","31584.383","1.012544",""
"2017-01-25 07","33271.954","1.070989",""
"2017-01-25 08","35122.616","1.130561",""
"2017-01-25 09","40382.275","1.442241",""
"2017-01-25 10","48153.505","1.719789",""
"2017-01-25 11","53799.427","1.921431",""
"2017-01-25 12","57619.512","2.057865",""
"2017-01-25 13","60335.98","2.154882",""
"2017-01-25 14","63293.78","2.26052",""
"2017-01-25 15","65007.692","2.321732",""
"2017-01-25 16","65271.358","2.331149",""
"2017-01-25 17","65698.391","2.346399",""
"2017-01-25 18","65656.127","2.344891",""
"2017-01-25 19","63838.323","6.13549",""
"2017-01-25 20","62579.437","4.49453",""
"2017-01-25 21","62344.052","5.30395",""
"2017-01-25 22","63604.221","6.68193",""
"2017-01-25 23","60224.708","5.277001",""
"2017-01-25 24","54273.219","3.292011",""
"2017-01-26 01","48371.964","2.289769",""
"2017-01-26 02","42204.104","1.832468",""
"2017-01-26 03","37315.165","1.215755",""
"2017-01-26 04","34614.705","1.09387",""
"2017-01-26 05","33444.6","1.052526",""
"2017-01-26 06","33159.619","1.043558",""
"2017-01-26 07","34977.019","1.057362",""
"2017-01-26 08","37261.646","1.155621",""
"2017-01-26 09","42315.574","1.494712",""
"2017-01-26 10","49780.317","1.77139",""
"2017-01-26 11","56039.708","1.994125",""
"2017-01-26 12","60038.078","2.783204",""
"2017-01-26 13","62474.412","3.01444",""
"2017-01-26 14","64514.852","3.112893",""
"2017-01-26 15","65262.579","6.668659",""
"2017-01-26 16","66382.556","7.415902",""
"2017-01-26 17","66351.6","7.412443",""
"2017-01-26 18","65434.214","7.309958",""
"2017-01-26 19","63231.701","6.436369",""
"2017-01-26 20","61964.073","3.390346",""
"2017-01-26 21","61361.401","4.138621",""
"2017-01-26 22","62415.316","4.209703",""
